title,work experience,salary,region
Менеджер по аналитике,1–3 года,до 175 000 руб. до вычета налогов,Москва
Разработчик/программист Oracle,3–6 лет,з/п не указана,Москва
Разработчик СЭД DIRECTUM RX (C#),1–3 года,з/п не указана,Санкт-Петербург
Frontend-разработчик,3–6 лет,до 300 000 руб. до вычета налогов,Санкт-Петербург
Инженер внедрения (Направление речевых технологий),3–6 лет,з/п не указана,Санкт-Петербург
Senior QA engineer (to Serbia/Canada),3–6 лет,от 3 000 USD до вычета налогов,Москва
Инженер-программист 1-2 категории С++/Qt,3–6 лет,от 180 000 до 250 000 руб. на руки,Санкт-Петербург
Principal Programmer,3–6 лет,з/п не указана,Москва
"QA Engineer, middle",3–6 лет,з/п не указана,Москва
Тестировщик ПО/QA- Engineer,1–3 года,з/п не указана,Москва
Фронтенд разработчик,1–3 года,от 100 000 руб. до вычета налогов,Краснодар
Инженер Linux,1–3 года,з/п не указана,Москва
Технический писатель,3–6 лет,з/п не указана,Москва
Инженер-программист C/C++ (C/C++ Embedded Junior/Middle Developer),1–3 года,з/п не указана,Новосибирск
Руководитель отдела разработки ПО,3–6 лет,з/п не указана,Санкт-Петербург
Специалист службы поддержки с техническими знаниями (Контест),не требуется,от 15 000 до 40 000 руб. на руки,Москва
Администратор баз данных (DBA) PostgreSQL,1–3 года,до 200 000 руб. на руки,Москва
Риск-технолог отдела кредитных технологий (разработчик стратегии SAS RTDM),1–3 года,з/п не указана,Москва
PHP-разработчик (senior),3–6 лет,з/п не указана,Санкт-Петербург
Технический лидер ArangoDB,3–6 лет,з/п не указана,Москва
Frontend-разработчик (angular),1–3 года,з/п не указана,Санкт-Петербург
Web-разработчик (full stack),3–6 лет,з/п не указана,Москва
Главный разработчик С++,3–6 лет,з/п не указана,Москва
Senior Software engineer C++/Старший разработчик С++,3–6 лет,з/п не указана,Санкт-Петербург
Senior Automation Engineer (Automation Architect) to Armenia,1–3 года,з/п не указана,Москва
ETL Разработчик-Консультант,3–6 лет,з/п не указана,Москва
Системный инженер / DevOps,3–6 лет,з/п не указана,Санкт-Петербург
Junior Server System Administrator,1–3 года,з/п не указана,Самара
Senior Full stack Developer,3–6 лет,з/п не указана,Москва
Программист компьютерного зрения senior,1–3 года,з/п не указана,Челябинск
Инженер по тестированию (речевая аналитика),1–3 года,з/п не указана,Санкт-Петербург
Пентестер,не требуется,з/п не указана,Казань
Senior Scoring Risk analyst Mexico,более 6 лет,от 4 000 до 4 500 USD до вычета налогов,Москва
Frontend-разработчик Luxms BI,1–3 года,з/п не указана,Санкт-Петербург
C++ Developer (Telecom) / Старший инженер-программист (C++),3–6 лет,з/п не указана,Нижний Новгород
Специалист службы поддержки с техническими знаниями (Контест),не требуется,от 15 000 до 40 000 руб. на руки,Хабаровск
Tech Lead (FMS),3–6 лет,з/п не указана,Санкт-Петербург
C/C++ разработчик,1–3 года,з/п не указана,Ярославль
Программист по обеспечению качества ПО,1–3 года,от 45 000 до 90 000 руб. на руки,Владивосток
Тестировщик/QA Инженер,1–3 года,з/п не указана,Москва
Программист-разработчик Java,3–6 лет,з/п не указана,Санкт-Петербург
Веб-программист,1–3 года,от 45 000 до 70 000 руб. на руки,Тула
Фронтенд разработчик,3–6 лет,от 90 000 до 150 000 руб. на руки,Челябинск
Senior Scala Developer / Scala Developer,3–6 лет,з/п не указана,Москва
Senior System Analyst,3–6 лет,з/п не указана,Санкт-Петербург
Веб-разработчик (fullstack),1–3 года,от 80 000 до 160 000 руб. на руки,Санкт-Петербург
Senior Software Developer (C++),более 6 лет,з/п не указана,Зеленоград
PHP Developer / PHP-разработчик (senior),3–6 лет,з/п не указана,Москва
Программист-разработчик баз данных,3–6 лет,з/п не указана,Южно-Сахалинск
Java Разработчик,1–3 года,з/п не указана,Москва
Middle DevOps / Системный администратор,3–6 лет,з/п не указана,Москва
Программист,3–6 лет,от 92 000 руб. на руки,Челябинск
Программист Oracle + Delphi,3–6 лет,з/п не указана,Санкт-Петербург
"Разработчик сетевых приложений (Wireless, OpenWRT)",1–3 года,от 140 000 руб. на руки,Йошкар-Ола
Senior Developer С/С++,3–6 лет,з/п не указана,Москва
Аналоговый схемотехник (SerDes),более 6 лет,з/п не указана,Санкт-Петербург
Web-программист,1–3 года,з/п не указана,Москва
Technical Support Engineer,3–6 лет,з/п не указана,Москва
DevSecOps/Security engineer,1–3 года,з/п не указана,Новосибирск
Аналитик в команду внедрения речевых технологий,1–3 года,з/п не указана,Москва
QA Engineer,3–6 лет,з/п не указана,Москва
Senior Data Visualization Expert (BI Team),3–6 лет,з/п не указана,Москва
Reverse Engineer,3–6 лет,з/п не указана,Москва
Специалист службы поддержки с техническими знаниями (Контест),не требуется,от 15 000 до 40 000 руб. на руки,Липецк
Разработчик Jira,3–6 лет,з/п не указана,Москва
Аналитик (направление речевых технологий),1–3 года,з/п не указана,Санкт-Петербург
"C++ Developer (robotics, controllers)",3–6 лет,з/п не указана,Москва
QA Lead,3–6 лет,з/п не указана,Москва
Программист-разработчик Java,3–6 лет,з/п не указана,Москва
Технические писатель (Аналитик),3–6 лет,от 100 000 руб. до вычета налогов,Москва
Программист / ведущий проектов,1–3 года,от 100 000 руб. на руки,Екатеринбург
Frontend react developer,3–6 лет,з/п не указана,Казань
QA тестировщик Backend Full-Stack в Tinkoff Black,3–6 лет,з/п не указана,Москва
QA Lead,3–6 лет,з/п не указана,Санкт-Петербург
Системный аналитик,1–3 года,от 120 000 руб. на руки,Москва
Специалист службы поддержки с техническими знаниями (Контест),не требуется,от 15 000 до 40 000 руб. на руки,Санкт-Петербург
Cloud Engineering Developer (EaaS),1–3 года,з/п не указана,Москва
Team Lead (Antifraud),3–6 лет,з/п не указана,Москва
Программист С,1–3 года,з/п не указана,Краснодар
Специалист службы поддержки с техническими знаниями (Контест),не требуется,от 15 000 до 40 000 руб. на руки,Саратов
Специалист службы поддержки с техническими знаниями (Контест),не требуется,от 15 000 до 40 000 руб. на руки,Волгоград
Специалист службы поддержки с техническими знаниями (Контест),не требуется,от 15 000 до 40 000 руб. на руки,Краснодар
Bitrix разработчик,1–3 года,от 90 000 руб. на руки,Москва
Senior C++ Developer (Gameplay),3–6 лет,з/п не указана,Москва
Специалист службы поддержки с техническими знаниями (Контест),не требуется,от 15 000 до 40 000 руб. на руки,Ростов-на-Дону
Инженер-программистз/п не указана,1–3 года,МУП Водоканал,Динамо
Администратор баз данных MongoDB,1–3 года,до 200 000 руб. на руки,Москва
Linux-инженер в сектор коммуникационных систем,1–3 года,з/п не указана,Москва
Middle Node.JS-developer (remote),1–3 года,от 180 000 до 250 000 руб. на руки,Белгород
Ведущий разработчик (VDI),3–6 лет,з/п не указана,Москва
Инженер-программист микроконтроллеров,3–6 лет,з/п не указана,посёлок Шушары
"Инженер по инфраструктуре, DevOps (интегратор, внедрение BI)",1–3 года,з/п не указана,Москва
Linux-инженер в сектор виртуализации,1–3 года,з/п не указана,Москва
Специалист службы поддержки с техническими знаниями (Контест),не требуется,от 15 000 до 40 000 руб. на руки,Казань
Разработчик Java,1–3 года,з/п не указана,Санкт-Петербург
Senior Software Developer,3–6 лет,от 3 000 до 4 500 EUR на руки,Москва
"Преподаватель IT дисциплин (Мытищи, Пушкино, Королёв)",не требуется,до 120 000 руб. до вычета налогов,Мытищи
Руководитель проектов по разработке ПО,3–6 лет,от 150 000 до 250 000 руб. на руки,Москва
Специалист службы поддержки с техническими знаниями (Контест),не требуется,от 15 000 до 40 000 руб. на руки,Омск
"Middle/Senior Data-аналитик команды ""Управление жизненным циклом клиента""",1–3 года,з/п не указана,Москва
Инженер-программист АСУ ТП,1–3 года,до 235 000 руб. на руки,Ростов-на-Дону
Инженер по тестированию ПО (ручное+авто),1–3 года,з/п не указана,Москва
Системный архитектор,3–6 лет,з/п не указана,Москва
Principal Programmer,3–6 лет,з/п не указана,Санкт-Петербург
Программист C++,1–3 года,от 50 000 руб. на руки,Томск
Linux администратор,3–6 лет,до 120 000 руб. на руки,Санкт-Петербург
"Разработчик DWH, Обработка и хранение данных",1–3 года,з/п не указана,Санкт-Петербург
Front-end Vue.js Developer,1–3 года,з/п не указана,Москва
Системный аналитик,1–3 года,з/п не указана,Москва
PHP-разработчик (Middle),1–3 года,от 150 000 руб. на руки,Краснодар
QA engineer of simulator,3–6 лет,з/п не указана,Москва
DevOps/CI инженер в сервис мобильных приложений,3–6 лет,з/п не указана,Краснодар
Ведущий сетевой инженер-исследователь,3–6 лет,от 100 000 руб. на руки,Москва
Senior Scala Developer / Scala Developer,3–6 лет,з/п не указана,Санкт-Петербург
Инженер по ИТ / Специалист по IoT / Инженер АСУ ТП,1–3 года,з/п не указана,Москва
PHP-программист (backend),1–3 года,з/п не указана,Чебоксары
Bitrix разработчик (Senior),3–6 лет,от 200 000 руб. на руки,Москва
RnD,3–6 лет,з/п не указана,Москва
Инженер по портированию BIOS,3–6 лет,з/п не указана,деревня Румянцево
Специалист службы поддержки с техническими знаниями (Контест),не требуется,от 15 000 до 40 000 руб. на руки,Тула
Руководитель отдела системного анализа,3–6 лет,з/п не указана,Москва
PHP разработчик (Senior),3–6 лет,з/п не указана,Красноярск
Senior Data Engineer/Разработчик DWH,3–6 лет,з/п не указана,Москва
Специалист службы поддержки с техническими знаниями (Контест),не требуется,от 15 000 до 40 000 руб. на руки,Самара
Специалист службы поддержки с техническими знаниями (Контест),не требуется,от 15 000 до 40 000 руб. на руки,Екатеринбург
Разработчик ETL\DWH (id9725),1–3 года,з/п не указана,Москва
Programming Team Lead (С++),3–6 лет,з/п не указана,Москва
Front-end разработчик,1–3 года,з/п не указана,Новосибирск
Team lead / Ведущий разработчик С++,3–6 лет,з/п не указана,Москва
Администратор баз данных (DBA),1–3 года,з/п не указана,Москва
Аналитик данных | Продуктовый аналитик,3–6 лет,от 200 000 руб. на руки,Москва
Специалист службы поддержки с техническими знаниями (Контест),не требуется,от 15 000 до 40 000 руб. на руки,Новосибирск
TeamLead (Java),3–6 лет,з/п не указана,Санкт-Петербург
Системный аналитик,1–3 года,з/п не указана,Екатеринбург
Аналитик-разработчик (ERP),1–3 года,з/п не указана,Москва
Специалист службы поддержки с техническими знаниями (Контест),не требуется,от 15 000 до 40 000 руб. на руки,Уфа
Специалист службы поддержки с техническими знаниями (Контест),не требуется,от 15 000 до 40 000 руб. на руки,Воронеж
"Разработчик DWH, Обработка и хранение данных",1–3 года,з/п не указана,Москва
Инженер по внедрению и сопровождению информационных систем,1–3 года,з/п не указана,Москва
Специалист службы поддержки с техническими знаниями (Контест),не требуется,от 15 000 до 40 000 руб. на руки,Нижний Новгород
Senior C++ Developer (Gameplay),3–6 лет,з/п не указана,Санкт-Петербург
Разработчик Java,1–3 года,з/п не указана,Москва
Инженер-программист АСУ ТП,1–3 года,до 235 000 руб. на руки,Краснодар
Senior Software Developer,3–6 лет,от 3 000 до 4 500 EUR на руки,Санкт-Петербург
Разработчик ETL\DWH [id9725],1–3 года,з/п не указана,Санкт-Петербург
Специалист службы поддержки с техническими знаниями (Контест),не требуется,от 15 000 до 40 000 руб. на руки,Оренбург
Программист микроконтроллеров,1–3 года,от 50 000 до 65 000 руб. до вычета налогов,Санкт-Петербург
Ведущий системный аналитик,3–6 лет,з/п не указана,Москва
Специалист службы поддержки с техническими знаниями (Контест),не требуется,от 15 000 до 40 000 руб. на руки,Иркутск
Администратор баз данных (GreenPlum),1–3 года,з/п не указана,Москва
"Разработчик Go, SEO метрики, Путь совершения покупки и Travel",1–3 года,з/п не указана,Москва
Инженер-программист АСУ ТП,1–3 года,до 235 000 руб. на руки,Саранск
ИТ-аналитик (ИТ-инфраструктура),3–6 лет,з/п не указана,Москва
Старший программист Oracle + Delphi,3–6 лет,з/п не указана,Новосибирск
Администратор систем,1–3 года,з/п не указана,Москва
Старший программист dwh,1–3 года,з/п не указана,Пермь
Старший программист Oracle + Delphi,3–6 лет,з/п не указана,Краснодар
Product owner,1–3 года,з/п не указана,Москва
Инженер-программист АСУ ТП,1–3 года,от 100 000 руб. до вычета налогов,Москва
Аналитик (EDWH),3–6 лет,з/п не указана,Москва
Менеджер IT-проектов,не требуется,от 100 000 до 150 000 руб. на руки,Санкт-Петербург
DevOps/CI инженер в сервис мобильных приложений,3–6 лет,з/п не указана,Нижний Новгород
"ALM Инженер (группа разработки инфраструктуры, команда разработки KasperskyOS)",3–6 лет,з/п не указана,Москва
Ведущий инженер по сопровождению прикладных систем,1–3 года,з/п не указана,Москва
Senior QA Manual,3–6 лет,з/п не указана,Москва
Linux администратор (remote),3–6 лет,з/п не указана,Москва
PHP-разработчик (Middle),3–6 лет,от 120 000 до 190 000 руб. на руки,Краснодар
Разработчик Oracle PL/SQL,1–3 года,з/п не указана,Новосибирск
Lead QA enginer (IoT platform),3–6 лет,з/п не указана,Санкт-Петербург
Ведущий тестировщик (Зеленоград),1–3 года,от 150 000 руб. на руки,Зеленоград
Разработчик Frontend React,1–3 года,з/п не указана,Нижний Новгород
Исследователь в лабораторию социальной и когнитивной информатики (математик),1–3 года,от 100 000 руб. до вычета налогов,Санкт-Петербург
Специалист службы поддержки с техническими знаниями (Контест),не требуется,от 15 000 до 40 000 руб. на руки,Челябинск
Team Lead/Senior Frontend разработчик,3–6 лет,з/п не указана,Москва
Web-аналитик,3–6 лет,з/п не указана,Москва
DevOps/CI инженер в сервис мобильных приложений,3–6 лет,з/п не указана,Пермь
Руководитель направления разработки,3–6 лет,от 355 000 до 520 000 руб. до вычета налогов,Севастополь
Аналитик (направление речевых технологий),1–3 года,з/п не указана,Екатеринбург
Сетевой/системный инженер,3–6 лет,от 100 000 руб. на руки,Санкт-Петербург
Programming Team Lead (С++),3–6 лет,з/п не указана,Санкт-Петербург
Специалист службы поддержки с техническими знаниями (Контест),не требуется,от 15 000 до 40 000 руб. на руки,Пермь
Ведущий инженер-программист по разработке сетевого ПО,более 6 лет,з/п не указана,Москва
Старший аналитик,3–6 лет,з/п не указана,Санкт-Петербург
Lead Fraud Analyst,1–3 года,з/п не указана,Москва
Продакт-менеджер,3–6 лет,до 300 000 руб. на руки,Москва
Тестировщик 1С,1–3 года,от 80 000 руб. на руки,Санкт-Петербург
C# / WPF разработчик GUI-приложений для управления лазерными станками,не требуется,от 60 000 руб. на руки,Новосибирск
Senior Product Analyst / Продуктовый аналитик,3–6 лет,з/п не указана,Москва
Разработчик java,1–3 года,з/п не указана,Новосибирск
Senior Test Automation Engineer (remote),3–6 лет,до 4 800 USD до вычета налогов,Санкт-Петербург
PHP-программист (Backend-разработчик),1–3 года,до 90 000 руб. на руки,Москва
Разработчик мониторинга IT-платформ,3–6 лет,з/п не указана,Москва
Back-End инженер,3–6 лет,з/п не указана,Нижний Новгород
Инженер HADOOP,1–3 года,з/п не указана,Москва
Разработчик Oracle HFM (FDM),3–6 лет,з/п не указана,Москва
Системный аналитик Web систем,1–3 года,з/п не указана,Москва
Разработчик банковского ПО,3–6 лет,от 100 000 руб. на руки,Челябинск
Frontend разработчик (React),3–6 лет,з/п не указана,Москва
Senior С# Developer (Unity 3D),3–6 лет,з/п не указана,Новосибирск
Инженер службы технической поддержки,1–3 года,от 80 000 руб. на руки,Москва
Системный администратор Linux,3–6 лет,з/п не указана,Москва
Ведущий системный администратор Linux,3–6 лет,з/п не указана,Волжский (Волгоградская область)
Senior QA (нагрузочное тестирование) Platform V,1–3 года,з/п не указана,Москва
Database administrator/DBA,3–6 лет,з/п не указана,Москва
TeamLead - Senior Developer (Java),более 6 лет,з/п не указана,Москва
Программист Oracle + Delphi,3–6 лет,з/п не указана,Краснодар
Администратор тестовых сред (Platform V),1–3 года,з/п не указана,Москва
Инженер-программист,3–6 лет,з/п не указана,Тверь
Back-End инженер (Рекомендательная система),1–3 года,з/п не указана,Нижний Новгород
Сетевой инженер,1–3 года,от 150 000 до 150 000 руб. на руки,Москва
Инженер HADOOP,1–3 года,з/п не указана,Санкт-Петербург
Продуктовый архитектор,3–6 лет,з/п не указана,Санкт-Петербург
Главный программист отдела по обработке и визуализации пространственных и больших данных,1–3 года,от 50 000 руб. на руки,Тюмень
Middle/Senior PHP-developer (remote),3–6 лет,от 160 000 до 300 000 руб. на руки,Белгород
Руководитель группы тестирования,3–6 лет,з/п не указана,Зеленоград
Системный инженер Linux,1–3 года,от 70 000 руб. до вычета налогов,Санкт-Петербург
Разработчик финансовой платформы в Доставку,1–3 года,з/п не указана,Санкт-Петербург
Ведущий специалист / Валидация моделей,1–3 года,з/п не указана,Москва
Аналитик-маркетолог,3–6 лет,з/п не указана,Москва
Middle+/Senior Frontend разработчик (ДТРРБ),1–3 года,з/п не указана,Москва
Lead Fraud Analyst,1–3 года,з/п не указана,Санкт-Петербург
Архитектор ИТ-решений / Solution Architect,1–3 года,з/п не указана,Москва
Frontend React RAIC,3–6 лет,з/п не указана,Москва
Разработчик ETL,1–3 года,з/п не указана,Сочи
Senior Verification Engineer,более 6 лет,з/п не указана,Зеленоград
Руководитель проекта (Цифровая платформа),3–6 лет,з/п не указана,Москва
Менеджер продукта (Big Data),1–3 года,з/п не указана,Москва
Разработчик финансовой платформы в Доставку,1–3 года,з/п не указана,Москва
Руководитель направления предиктивной аналитики,3–6 лет,з/п не указана,Москва
Руководитель направления предиктивной аналитики,3–6 лет,от 320 000 руб. до вычета налогов,Москва
QA Engineer / Тестировщик (КПиП),1–3 года,з/п не указана,Санкт-Петербург
Директор по разработке моделей,1–3 года,з/п не указана,Москва
Старший программист Oracle + Delphi,3–6 лет,з/п не указана,Москва
Руководитель службы DevOps,более 6 лет,з/п не указана,Москва
Middle / Senior front-end developer (Vue),3–6 лет,з/п не указана,Ульяновск
Ведущий инженер баз данных (teamlead),3–6 лет,з/п не указана,Москва
Head of Information Security Department,3–6 лет,з/п не указана,Москва
Инженер-программист (микроконтроллеры),1–3 года,з/п не указана,Санкт-Петербург
Разработчик логистической платформы в Доставку,1–3 года,з/п не указана,Санкт-Петербург
Linux administrator,1–3 года,з/п не указана,Санкт-Петербург
IOS developerот 150 000 руб. на руки,1–3 года,ООО Волкрафт,Penza
Android-разработчик в команду Emcee,3–6 лет,з/п не указана,Москва
"Manager, Site Reliability Engineering (to Canada/Serbia)",более 6 лет,от 9 500 USD до вычета налогов,Москва
Инженер по сопровождению (АС ОКЭй),1–3 года,з/п не указана,Москва
Инженер-программист микроконтроллеров,1–3 года,з/п не указана,Санкт-Петербург
Системный аналитик Web систем,1–3 года,з/п не указана,Челябинск
Инженер сопровождения ПО,3–6 лет,з/п не указана,Москва
Ведущий аналитик,1–3 года,з/п не указана,Москва
Менеджер по нагрузочному тестированию,3–6 лет,з/п не указана,Москва
Back-End инженер (Рекомендательная система),3–6 лет,з/п не указана,Нижний Новгород
Head of QA (нагрузочное тестирование),1–3 года,з/п не указана,Москва
Group Manager (Advanced Technologies and Performance Analysis),более 6 лет,з/п не указана,Москва
Salesforce Software Engineer (to Yerevan),3–6 лет,з/п не указана,Москва
C# разработчик приложения для автоматизации обработки деталей на лазерных станках,3–6 лет,от 75 000 до 140 000 руб. на руки,Новосибирск
Middle / Senior front-end developer (Vue),3–6 лет,з/п не указана,Самара
Инженер-программист,1–3 года,з/п не указана,Раменское
Web-программист,3–6 лет,от 38 000 руб. до вычета налогов,Нижний Новгород
Ведущий разработчик ITSM,3–6 лет,з/п не указана,Москва
Разработчик логистической платформы в Доставку,1–3 года,з/п не указана,Москва
Инженер-разработчик Linux,3–6 лет,от 150 000 до 250 000 руб. на руки,Москва
IT рекрутер/HR специалист,1–3 года,з/п не указана,Санкт-Петербург
Интеграционный аналитик,1–3 года,з/п не указана,Москва
Специалист отдела внедрения ПО,1–3 года,з/п не указана,Москва
Программист,более 6 лет,от 15 000 до 15 000 руб. на руки,Сочи
Senior system analyst,3–6 лет,з/п не указана,Москва
Инженер по ИБ,3–6 лет,з/п не указана,Москва
PHP TeamLead,3–6 лет,з/п не указана,Москва
Salesforce Software Engineer (to Yerevan),3–6 лет,з/п не указана,Санкт-Петербург
Разработчик .NET,3–6 лет,з/п не указана,Санкт-Петербург
Младший прикладной администратор управления сопровождения бэк-офисных операций,1–3 года,з/п не указана,Москва
Engineer SDN,3–6 лет,з/п не указана,Москва
Программист PHP,1–3 года,от 70 000 руб. до вычета налогов,Москва
Руководитель группы разработки (TeamLead),более 6 лет,з/п не указана,Санкт-Петербург
Ведущий инженер-программист ПЛИС,3–6 лет,з/п не указана,Санкт-Петербург
Инженер по эксплуатации cервисных платформ,3–6 лет,з/п не указана,Санкт-Петербург
Middle +/Senior Android разработчик,3–6 лет,з/п не указана,Новосибирск
Senior QA auto,3–6 лет,з/п не указана,Москва
"Manager, Site Reliability Engineering (to Canada/Serbia)",более 6 лет,от 9 500 USD до вычета налогов,Санкт-Петербург
Разработчик .NET (senior),3–6 лет,з/п не указана,Москва
Системный аналитик управления противодействия кибермошенничеству,3–6 лет,з/п не указана,Москва
Инженер-испытатель по автоматизации тестирования,3–6 лет,з/п не указана,Москва
Руководитель/Teamlead группы (внедрение),1–3 года,з/п не указана,Москва
Team Manager / Менеджер команды / Project Manager,3–6 лет,з/п не указана,Санкт-Петербург
Аналитик dwh,1–3 года,з/п не указана,Пермь
Сетевой программист,3–6 лет,от 190 000 до 220 000 руб. на руки,Москва
Администратор базы данных / DBA,3–6 лет,з/п не указана,Санкт-Петербург
Senior Security Engineer / Ведущий инженер по информационной безопасности,3–6 лет,з/п не указана,Санкт-Петербург
Продуктовый аналитик,3–6 лет,з/п не указана,Екатеринбург
Senior cетевой инженер,3–6 лет,з/п не указана,Москва
Аналитик,1–3 года,от 60 000 руб. до вычета налогов,Ростов-на-Дону
Сервисный linux инженер,3–6 лет,з/п не указана,Москва
Ведущий тестировщик,3–6 лет,з/п не указана,Москва
Инженер-программист (АСУ ТП),3–6 лет,от 72 000 руб. до вычета налогов,Воронеж
Специалист по безопасности приложений,3–6 лет,от 4 000 до 6 000 EUR на руки,Санкт-Петербург
Специалист технической поддержки,1–3 года,от 50 000 руб. до вычета налогов,Санкт-Петербург
"Инженер-робототехник (Мехатроника, АСУ, Электроприводы)/Инженер АСУ/Повелитель промышленных роботов",3–6 лет,от 140 000 руб. на руки,Москва
HR-аналитик,1–3 года,з/п не указана,Санкт-Петербург
Инженер 2 линии технической поддержки (SberDevices),1–3 года,з/п не указана,Москва
Разработчик ETL(Hadoop),1–3 года,з/п не указана,Москва
Специалист по тестированию (проект мобильный ЛК),1–3 года,з/п не указана,Москва
Инженер группы инфраструктуры,3–6 лет,з/п не указана,Москва
Бизнес-аналитик,3–6 лет,з/п не указана,Москва
Linux-инженер в сектор служб каталогов,1–3 года,з/п не указана,Москва
Инженер-программист микроконтроллеров,3–6 лет,от 100 000 до 150 000 руб. на руки,Москва
Бизнес - Архитектор,более 6 лет,з/п не указана,Санкт-Петербург
Ведущий тестировщик,3–6 лет,з/п не указана,Пенза
"Инженер - испытатель / инженер - разработчик (электроника, электромеханика)",1–3 года,от 70 000 руб. на руки,Санкт-Петербург
Куратор учебного отделения Виртуальный класс,1–3 года,от 69 600 до 85 000 руб. на руки,Москва
Специалист по безопасности приложений,3–6 лет,от 4 000 до 6 000 EUR на руки,Краснодар
Ведущий тестировщик,3–6 лет,з/п не указана,Санкт-Петербург
Администратор базы данных / DBA,3–6 лет,з/п не указана,Москва
Разработчик 1C (middle),1–3 года,от 120 000 руб. на руки,Санкт-Петербург
Специалист по безопасности приложений,3–6 лет,от 4 000 до 6 000 EUR на руки,Владивосток
Бизнес - Архитектор,более 6 лет,з/п не указана,Москва
HR-аналитик,1–3 года,з/п не указана,Москва
Системный администратор Linux (аккредитованная ИТ-компания),1–3 года,з/п не указана,Санкт-Петербург
Аналитик,3–6 лет,от 150 000 руб. на руки,Москва
Android-разработчик в Рекламную сеть Яндекса,3–6 лет,з/п не указана,Санкт-Петербург
Инженер по информационной безопасности,3–6 лет,з/п не указана,Москва
Специалист по безопасности приложений,3–6 лет,от 4 000 до 6 000 EUR на руки,Казань
Преподаватель направления по Мобильным разработкам (Школа Samsung),1–3 года,з/п не указана,Новосибирск
BI-специалист,3–6 лет,от 150 000 до 200 000 руб. на руки,Москва
Разработчик 1C (middle),1–3 года,от 120 000 руб. на руки,Москва
Senior Frontend Developer,3–6 лет,з/п не указана,Москва
Tech Lead,3–6 лет,з/п не указана,Санкт-Петербург
Программист-разработчик отдела информационного обеспечения государственной кадастровой оценки,3–6 лет,от 80 000 до 80 000 руб. до вычета налогов,Краснодар
Team Lead/Senior Kotlin/Java Developer,3–6 лет,з/п не указана,Санкт-Петербург
Spark Developer,3–6 лет,з/п не указана,Москва
Программист микроконтроллеров,более 6 лет,з/п не указана,Зеленоград
BI-разработчик,1–3 года,з/п не указана,Москва
Технический директор / Head of Techз/п не указана,3–6 лет,Convergent,Москва
Инженер / Ведущий инженер по информационной безопасности,3–6 лет,от 125 000 до 225 000 руб. на руки,Москва
Главный инженер по сопровождению,3–6 лет,з/п не указана,Москва
Системный инженер алгоритмов управления движением и навигации (СУДН),3–6 лет,з/п не указана,Москва
Главный специалист администрирования удалённых каналов,3–6 лет,до 200 000 руб. на руки,Москва
Разработчик 1C (senior),3–6 лет,з/п не указана,Москва
Системный аналитик (Здравоохранение),3–6 лет,з/п не указана,Москва
DevOps инженер (Apache Ni-Fi),3–6 лет,з/п не указана,Санкт-Петербург
Программист в отдел АСУ ТП,1–3 года,от 77 316 до 113 652 руб. на руки,Нижний Новгород
Ведущий тестировщик,3–6 лет,з/п не указана,Омск
Инженер дежурной смены,1–3 года,з/п не указана,Хабаровск
RTL-разработчик (Senior),более 6 лет,от 150 000 до 200 000 руб. на руки,Москва
Инженер-программист АСУ ТП,3–6 лет,от 113 486 до 136 382 руб. на руки,Томск
Ведущий тестировщик,3–6 лет,з/п не указана,Казань
Бизнес-аналитик (Middle),1–3 года,з/п не указана,Москва
Главный инженер разработки (ЦФТ),3–6 лет,з/п не указана,Москва
Android-разработчик в Рекламную сеть Яндекса,3–6 лет,з/п не указана,Москва
IT разработчик (инспекция по развитию финансового аудита),3–6 лет,з/п не указана,Москва
Ведущий тестировщик,3–6 лет,з/п не указана,Воронеж
Delphi developer,1–3 года,з/п не указана,Нижний Новгород
Программист в отдел АСУ ТП,1–3 года,от 84 753 до 136 382 руб. на руки,Челябинск
Инженер-программист АСУ ТП,3–6 лет,от 113 486 до 136 382 руб. на руки,Екатеринбург
Ведущий специалист по информационной безопасности (инженер-программист),3–6 лет,от 60 000 до 70 000 руб. на руки,Екатеринбург
Архитектор ПО,более 6 лет,з/п не указана,Москва
Инженер (сервисная эксплуатация ПО),1–3 года,от 60 000 до 70 000 руб. на руки,Москва
Android-разработчик в Рекламную сеть Яндекса,3–6 лет,з/п не указана,Екатеринбург
Системный администратор,1–3 года,до 200 000 руб. на руки,Москва
PHP middle разработчик (+ Битрикс),3–6 лет,з/п не указана,Москва
Ведущий специалист технической поддержки (Аккредитованная IT компания),1–3 года,з/п не указана,Новосибирск
Team Lead Data Scientist,3–6 лет,з/п не указана,Москва
"Web-разработчик (PHP, Bitrix)",3–6 лет,от 150 000 до 200 000 руб. на руки,Москва
Аналитик Directum,3–6 лет,з/п не указана,Санкт-Петербург
Программист 1С,3–6 лет,от 150 000 руб. на руки,Санкт-Петербург
Специалист поддержки инфраструктурных сервисов,1–3 года,з/п не указана,Москва
Программист-стажер 1С,не требуется,от 25 000 руб. на руки,Омск
Стажер-программист 1С,1–3 года,з/п не указана,Киров
Solutions Integration Manager,3–6 лет,з/п не указана,Москва
Ведущий сетевой инженер в ЦОД,3–6 лет,от 100 000 до 170 000 руб. на руки,Липецк
Аналитик по динамическому ценообразованию,3–6 лет,от 120 000 руб. на руки,Санкт-Петербург
Ведущий сетевой инженер в ЦОД,3–6 лет,от 100 000 до 170 000 руб. на руки,Севастополь
