title,work experience,salary,region
"Migration Software Development and Support Engineer, Communication Services",3–6 лет,з/п не указана,Алматы
Разработчик бэкенда в Путешествия,3–6 лет,з/п не указана,Алматы
Программист,1–3 года,з/п не указана,Щучинск
Middle/Senior QA Engineer,3–6 лет,з/п не указана,Астана
Data Engineer,1–3 года,з/п не указана,Астана
Middle/Senior QA Engineer,3–6 лет,з/п не указана,Алматы
Tableau BI Developer,1–3 года,з/п не указана,Астана
Solutions Architect,3–6 лет,от 3 000 до 6 000 USD до вычета налогов,Алматы
QA-инженер,1–3 года,от 400 000 до 700 000 KZT на руки,Алматы
Big Data Engineer,3–6 лет,з/п не указана,Астана
Lead DevOps Engineer,3–6 лет,з/п не указана,Астана
Financial Analyst,3–6 лет,з/п не указана,Алматы
Senior PHP Developer (to Cyprus),3–6 лет,от 4 500 EUR на руки,Лимассол
Главный разработчик,1–3 года,з/п не указана,Астана
Senior HPC Engineer,более 6 лет,з/п не указана,Астана
Fullstack developer,3–6 лет,з/п не указана,Алматы
"Senior QA Engineer (Automation, Python) to Cyprus, Armenia",3–6 лет,от 4 500 EUR на руки,город Лимасол
DevOps Engineer,3–6 лет,з/п не указана,Алматы
DevOps Engineer в SuperApp,1–3 года,з/п не указана,Алматы
Senior Golang Developer,3–6 лет,от 5 000 EUR на руки,Астана
Разработчик GO Вертикали,3–6 лет,з/п не указана,Алматы
"Software Development Team Leader (Cross-Functional Team to Cyprus, Armenia)",более 6 лет,от 6 000 EUR на руки,город Лимасол
Android-разработчик в Вертикали,3–6 лет,з/п не указана,Алматы
Middle IOS Developer (Simply),1–3 года,з/п не указана,Алматы
"Business Data Analyst, Investment Management Solution",3–6 лет,з/п не указана,Алматы
"Senior Business System Analyst (to Cyprus, Armenia)",3–6 лет,от 4 500 EUR на руки,город Лимасол
"Business Data Analyst, Investment Management Solution",3–6 лет,з/п не указана,Астана
Business Process Development Analyst (S&OP / IBP),1–3 года,з/п не указана,Алматы
Главный менеджер Управления развития Colvir Департамента Информационных Технологий,3–6 лет,з/п не указана,Алматы
Программист 1С,3–6 лет,з/п не указана,Алматы
Data analyst,3–6 лет,з/п не указана,Астана
Data Integration Engineer,1–3 года,з/п не указана,Астана
"Middle C++ Engineer, Wireless Solutions",3–6 лет,з/п не указана,Алматы
"Middle C++ Engineer, Wireless Solutions",3–6 лет,з/п не указана,Астана
Data Integration Engineer,1–3 года,з/п не указана,Алматы
Senior/Middle Java разработчик,3–6 лет,з/п не указана,Алматы
Data Engineer (Senior),3–6 лет,з/п не указана,Алматы
"Business System Analyst (CRM), Investment Management Solutions",3–6 лет,з/п не указана,Алматы
"Business System Analyst (CRM), Investment Management Solutions",3–6 лет,з/п не указана,Астана
Middle Full-Stack Developer,1–3 года,з/п не указана,Алматы
Senior Android Developer в Platform team,3–6 лет,з/п не указана,Алматы
Lead QA Automation Engineer (Blockchain DeFi),3–6 лет,з/п не указана,Астана
BI Engineer with Tableau,3–6 лет,з/п не указана,Алматы
BI Engineer with Tableau,3–6 лет,з/п не указана,Астана
Ведущий менеджер Управления развития Colvir Департамента Информационных Технологий,3–6 лет,з/п не указана,Алматы
Data Scientist (Риски),1–3 года,з/п не указана,Алматы
Web Developer,3–6 лет,от 350 000 до 900 000 KZT до вычета налогов,Алматы
ETL разработчик,1–3 года,з/п не указана,Алматы
Full-Stack Developer (Technology Consulting),3–6 лет,з/п не указана,Алматы
DevOps engineer,3–6 лет,з/п не указана,Алматы
"BI Consultant, Accounting Advisory Services, Consulting",3–6 лет,з/п не указана,Алматы
Site Reliability Engineer,3–6 лет,з/п не указана,Астана
Site Reliability Engineer,3–6 лет,з/п не указана,Алматы
"QA Engineer, Communication Services",3–6 лет,з/п не указана,Астана
"QA Engineer, Communication Services",3–6 лет,з/п не указана,Алматы
"Senior DevOps Engineer, Communication Services",3–6 лет,з/п не указана,Алматы
Frontend Developer - (Slovenia),3–6 лет,з/п не указана,Ljubljana
DevOps Engineer (Remote),1–3 года,з/п не указана,Астана
PHP-разработчик,3–6 лет,от 250 000 до 300 000 KZT до вычета налогов,Павлодар
DevOps Engineer,1–3 года,от 2 000 до 3 500 USD на руки,Алматы
Unix Administrator,3–6 лет,з/п не указана,Алматы
Разработчик RPA,1–3 года,з/п не указана,Алматы
Разработчик backend (С++),1–3 года,з/п не указана,Нур-Султан (Астана)
Программист,не требуется,от 183 000 KZT на руки,Караганда
Senior DevOps Engineer,3–6 лет,з/п не указана,Астана
Senior DevOps Engineer,3–6 лет,з/п не указана,Алматы
Senior QA Automation (Python) Engineer / SDET,не требуется,з/п не указана,Астана
